task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	08/faa3d8	2092260	FETCHNGS:NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO (ERR11202896)	COMPLETED	0	2023-12-26 11:26:47.052	3.6s	2s	14.0%	25.1 MB	31 MB	4.4 MB	5.3 KB
2	c8/eec8d6	2092476	FETCHNGS:NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:CUSTOM_SRATOOLSNCBISETTINGS (ncbi-settings)	COMPLETED	0	2023-12-26 11:26:50.652	2.7s	0ms	32.8%	3.1 MB	5.4 MB	94.7 KB	724 B
3	c0/776d80	2092666	BWAMEM2_INDEX (Athal_chr1.fasta)	COMPLETED	0	2023-12-26 11:26:53.430	12.6s	10s	77.3%	658.3 MB	685 MB	36.7 MB	159.6 MB
4	3e/849a6b	2093402	FETCHNGS:NFCORE_FETCHNGS:SRA:SRA_RUNINFO_TO_FTP (1)	COMPLETED	0	2023-12-26 11:27:06.021	2.1s	0ms	81.0%	3.1 MB	5.4 MB	2 MB	2.5 KB
5	c6/63cd67	2093568	FETCHNGS:NFCORE_FETCHNGS:SRA:SRA_FASTQ_FTP (ERX10632306_ERR11202896)	COMPLETED	0	2023-12-26 11:27:08.398	3m 54s	3m 52s	0.3%	9.6 MB	145.9 MB	111 MB	110.9 MB
6	50/7d6ebe	-	FETCHNGS:NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (ERX10632306_ERR11202896)	COMPLETED	-	2023-12-26 11:31:02.811	39ms	0ms	-	-	-	-	-
7	cb/62b0e4	2096968	FETCHNGS:NFCORE_FETCHNGS:SRA:SRA_MERGE_SAMPLESHEET	COMPLETED	0	2023-12-26 11:31:02.877	1.9s	44ms	19.4%	2.9 MB	3.9 MB	171.5 KB	4.6 KB
8	9d/762351	2097230	FETCHNGS:NFCORE_FETCHNGS:SRA:MULTIQC_MAPPINGS_CONFIG	COMPLETED	0	2023-12-26 11:31:04.779	1.9s	0ms	28.6%	3.1 MB	5.4 MB	439.7 KB	1.2 KB
