task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	6e/36cd96	2128953	FETCHNGS:NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO (ERR11202896)	COMPLETED	0	2023-12-26 14:06:19.951	4.4s	2s	13.8%	25.1 MB	31 MB	4.4 MB	5.3 KB
3	89/3aedd4	2129165	BWAMEM2_INDEX (Athal_chr1.fasta)	COMPLETED	0	2023-12-26 14:06:24.392	13.4s	11s	77.7%	725.1 MB	743.1 MB	36.7 MB	159.6 MB
2	25/66525b	2129957	FETCHNGS:NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:CUSTOM_SRATOOLSNCBISETTINGS (ncbi-settings)	COMPLETED	0	2023-12-26 14:06:37.806	3.1s	0ms	67.0%	3.1 MB	5.4 MB	94.7 KB	724 B
4	ac/ee6bce	2130147	FETCHNGS:NFCORE_FETCHNGS:SRA:SRA_RUNINFO_TO_FTP (1)	COMPLETED	0	2023-12-26 14:06:40.908	2.1s	0ms	78.0%	16.8 MB	21.9 MB	2 MB	2.5 KB
5	2d/bb6d21	2130336	FETCHNGS:NFCORE_FETCHNGS:SRA:SRA_FASTQ_FTP (ERX10632306_ERR11202896)	COMPLETED	0	2023-12-26 14:06:43.088	16.9s	14s	5.8%	9.6 MB	145.9 MB	111 MB	110.9 MB
6	cf/4d5bb6	-	FETCHNGS:NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (ERX10632306_ERR11202896)	COMPLETED	-	2023-12-26 14:07:00.027	66ms	0ms	-	-	-	-	-
7	b5/7c8b31	2131084	BWAMEM2_MEM (ERX10632306_ERR11202896)	FAILED	1	2023-12-26 14:07:00.122	3.7s	2.9s	-	-	-	-	-
8	65/61dd7b	2131341	FETCHNGS:NFCORE_FETCHNGS:SRA:SRA_MERGE_SAMPLESHEET	COMPLETED	0	2023-12-26 14:07:03.811	1.7s	45ms	39.3%	2.9 MB	3.9 MB	171.5 KB	4.6 KB
