task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	a5/c566d5	2088326	FETCHNGS:NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO (ERR11202896)	COMPLETED	0	2023-12-26 11:14:42.462	4s	2s	14.0%	25.1 MB	31 MB	4.4 MB	5.3 KB
3	28/ec5744	2088543	BWAMEM2_INDEX (Athal_chr1.fasta)	COMPLETED	0	2023-12-26 11:14:46.543	12.9s	11s	76.5%	653.4 MB	685 MB	36.7 MB	159.6 MB
2	f1/d39b15	2089276	FETCHNGS:NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:CUSTOM_SRATOOLSNCBISETTINGS (ncbi-settings)	COMPLETED	0	2023-12-26 11:14:59.505	3s	0ms	33.1%	3.1 MB	5.4 MB	94.7 KB	724 B
4	71/5bd8f1	2089467	FETCHNGS:NFCORE_FETCHNGS:SRA:SRA_RUNINFO_TO_FTP (1)	COMPLETED	0	2023-12-26 11:15:02.573	2s	0ms	77.7%	16.8 MB	21.9 MB	2 MB	2.5 KB
5	8a/c495a4	2089657	FETCHNGS:NFCORE_FETCHNGS:SRA:SRA_FASTQ_FTP (ERX10632306_ERR11202896)	COMPLETED	0	2023-12-26 11:15:04.609	19.3s	16s	4.9%	9.6 MB	145.9 MB	111 MB	110.9 MB
6	65/a38912	-	FETCHNGS:NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (ERX10632306_ERR11202896)	COMPLETED	-	2023-12-26 11:15:23.919	55ms	0ms	-	-	-	-	-
7	fb/69bda8	2090466	FETCHNGS:NFCORE_FETCHNGS:SRA:SRA_MERGE_SAMPLESHEET	COMPLETED	0	2023-12-26 11:15:23.994	1.9s	44ms	40.1%	2.9 MB	3.9 MB	171.5 KB	4.6 KB
8	01/a48774	2090672	FETCHNGS:NFCORE_FETCHNGS:SRA:MULTIQC_MAPPINGS_CONFIG	COMPLETED	0	2023-12-26 11:15:25.967	1.8s	0ms	72.3%	3.1 MB	5.4 MB	439.7 KB	1.2 KB
