task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	c4/fab668	2059453	FETCHNGS:NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO (ERR11202896)	CACHED	0	2023-12-26 09:04:23.828	3.6s	2s	15.2%	25.1 MB	31 MB	4.4 MB	5.3 KB
2	8e/c1932a	2059720	FETCHNGS:NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:CUSTOM_SRATOOLSNCBISETTINGS (ncbi-settings)	CACHED	0	2023-12-26 09:04:27.460	3.1s	0ms	14.2%	3.1 MB	5.4 MB	94.7 KB	724 B
3	9e/6d557c	2059968	BWAMEM2_INDEX (Athal_chr1.fasta)	CACHED	0	2023-12-26 09:04:30.543	12.8s	11s	76.7%	653.7 MB	685 MB	36.7 MB	159.6 MB
4	89/97c840	2061120	FETCHNGS:NFCORE_FETCHNGS:SRA:SRA_RUNINFO_TO_FTP (1)	CACHED	0	2023-12-26 09:04:43.369	2.4s	0ms	78.2%	16.8 MB	21.9 MB	2 MB	2.5 KB
5	4e/01744a	2061500	FETCHNGS:NFCORE_FETCHNGS:SRA:SRA_FASTQ_FTP (ERX10632306_ERR11202896)	CACHED	0	2023-12-26 09:04:46.008	16.6s	14s	5.9%	9.6 MB	145.9 MB	111 MB	110.9 MB
6	a9/bc6eaf	-	FETCHNGS:NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (ERX10632306_ERR11202896)	CACHED	-	2023-12-26 09:05:02.621	69ms	0ms	-	-	-	-	-
7	0e/e717a7	2062263	FETCHNGS:NFCORE_FETCHNGS:SRA:SRA_MERGE_SAMPLESHEET	CACHED	0	2023-12-26 09:05:02.717	2.3s	42ms	42.7%	2.9 MB	3.9 MB	171.5 KB	4.6 KB
8	aa/9d5770	2062468	FETCHNGS:NFCORE_FETCHNGS:SRA:MULTIQC_MAPPINGS_CONFIG	CACHED	0	2023-12-26 09:05:05.072	2.1s	0ms	53.9%	3.1 MB	5.4 MB	439.7 KB	1.2 KB
