task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	1b/c51bd7	2053584	BWAMEM2_INDEX (Athal_chr1.fasta)	COMPLETED	0	2023-12-26 09:00:25.527	13s	11s	77.3%	659.1 MB	685 MB	36.7 MB	159.6 MB
1	17/e4b972	2054346	FETCHNGS:NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO (ERR11202896)	COMPLETED	0	2023-12-26 09:00:38.626	4s	2s	13.6%	25.1 MB	31 MB	4.4 MB	5.3 KB
2	49/1177d7	2054562	FETCHNGS:NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:CUSTOM_SRATOOLSNCBISETTINGS (ncbi-settings)	COMPLETED	0	2023-12-26 09:00:42.657	2.7s	0ms	65.8%	3.1 MB	5.4 MB	94.7 KB	724 B
4	dd/2f810b	2054752	FETCHNGS:NFCORE_FETCHNGS:SRA:SRA_RUNINFO_TO_FTP (1)	COMPLETED	0	2023-12-26 09:00:45.366	2.1s	0ms	79.3%	16.8 MB	21.9 MB	2 MB	2.5 KB
5	0d/3d4428	2054942	FETCHNGS:NFCORE_FETCHNGS:SRA:SRA_FASTQ_FTP (ERX10632306_ERR11202896)	COMPLETED	0	2023-12-26 09:00:47.502	3m 54s	3m 51s	0.3%	9.6 MB	145.9 MB	111 MB	110.9 MB
6	bc/845e1b	-	FETCHNGS:NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (ERX10632306_ERR11202896)	COMPLETED	-	2023-12-26 09:04:41.498	53ms	0ms	-	-	-	-	-
7	c2/eaada7	2060732	FETCHNGS:NFCORE_FETCHNGS:SRA:SRA_MERGE_SAMPLESHEET	COMPLETED	0	2023-12-26 09:04:41.620	1.8s	49ms	35.3%	2.8 MB	3.9 MB	171.5 KB	4.6 KB
8	4c/dde164	2061142	FETCHNGS:NFCORE_FETCHNGS:SRA:MULTIQC_MAPPINGS_CONFIG	COMPLETED	0	2023-12-26 09:04:43.503	1.8s	0ms	66.1%	3.1 MB	5.4 MB	439.7 KB	1.2 KB
